Id,SalePrice
1461,113000
1462,153000
1463,165500
1464,205000
1465,197000
1466,188750
1467,155000
1468,179000
1469,197500
1470,113000
1471,191000
1472,118000
1473,87000
1474,148500
1475,113000
1476,280000
1477,227680
1478,372402
1479,372402
1480,378500
1481,305000
1482,254000
1483,142500
1484,179540
1485,160000
1486,195000
1487,501837
1488,214000
1489,189950
1490,328000
1491,175500
1492,125000
1493,148500
1494,290000
1495,290000
1496,328900
1497,230000
1498,207000
1499,146000
1500,185000
1501,208300
1502,164700
1503,385000
1504,253000
1505,262500
1506,148500
1507,171000
1508,179000
1509,155250
1510,160000
1511,163500
1512,143000
1513,148500
1514,219500
1515,130000
1516,180200
1517,171000
1518,200000
1519,214000
1520,171000
1521,171000
1522,155250
1523,135000
1524,97000
1525,113000
1526,99500
1527,134800
1528,125500
1529,127500
1530,167900
1531,175000
1532,80000
1533,145000
1534,102000
1535,219500
1536,87000
1537,67000
1538,179540
1539,238000
1540,137500
1541,128000
1542,132000
1543,177500
1544,102000
1545,125500
1546,113000
1547,105000
1548,132000
1549,115000
1550,130000
1551,109000
1552,130000
1553,52000
1554,114504
1555,145000
1556,81000
1557,52000
1558,110000
1559,132000
1560,122500
1561,190000
1562,87000
1563,109000
1564,179000
1565,172000
1566,262500
1567,67000
1568,179000
1569,259500
1570,113000
1571,113000
1572,171000
1573,262500
1574,117000
1575,214000
1576,255000
1577,189950
1578,167975
1579,113000
1580,179000
1581,143250
1582,140000
1583,305900
1584,253000
1585,136500
1586,68500
1587,134800
1588,171000
1589,113000
1590,125000
1591,102000
1592,132000
1593,134800
1594,113000
1595,137500
1596,229000
1597,125000
1598,217000
1599,179540
1600,179540
1601,89000
1602,110000
1603,52000
1604,392500
1605,255000
1606,190000
1607,148500
1608,185500
1609,189950
1610,145000
1611,160000
1612,143000
1613,179000
1614,88000
1615,75500
1616,55000
1617,88000
1618,127500
1619,113000
1620,125000
1621,140000
1622,219500
1623,260000
1624,261500
1625,113000
1626,177333
1627,180200
1628,228500
1629,179000
1630,328900
1631,179000
1632,261500
1633,148800
1634,213000
1635,179000
1636,198900
1637,172000
1638,179000
1639,177333
1640,179000
1641,171000
1642,250000
1643,253000
1644,198500
1645,148500
1646,152000
1647,160000
1648,160000
1649,171000
1650,107000
1651,134800
1652,118000
1653,118000
1654,129500
1655,160000
1656,148500
1657,148500
1658,176500
1659,113000
1660,143250
1661,378500
1662,354000
1663,378500
1664,378500
1665,280000
1666,372402
1667,383970
1668,372402
1669,385000
1670,372402
1671,257000
1672,446261
1673,255000
1674,230500
1675,174000
1676,149600
1677,254000
1678,378500
1679,446261
1680,319900
1681,319900
1682,315000
1683,207000
1684,179540
1685,174000
1686,179540
1687,160000
1688,195000
1689,179540
1690,179540
1691,155000
1692,383970
1693,160000
1694,215000
1695,179000
1696,290000
1697,179000
1698,333168
1699,290000
1700,253000
1701,290000
1702,230500
1703,232000
1704,270000
1705,325000
1706,378500
1707,238000
1708,196000
1709,254000
1710,254000
1711,372402
1712,232000
1713,271000
1714,196000
1715,233000
1716,189950
1717,189950
1718,85000
1719,195000
1720,214000
1721,189950
1722,85000
1723,156000
1724,224000
1725,253000
1726,175500
1727,148000
1728,179540
1729,179000
1730,198200
1731,82500
1732,143250
1733,113000
1734,110000
1735,143250
1736,110000
1737,244000
1738,173000
1739,305000
1740,230500
1741,208300
1742,185000
1743,207000
1744,223000
1745,223000
1746,187000
1747,148500
1748,289000
1749,175000
1750,171000
1751,148500
1752,113000
1753,145000
1754,171000
1755,148500
1756,140000
1757,127500
1758,179000
1759,117000
1760,175000
1761,165500
1762,148500
1763,217000
1764,113000
1765,223000
1766,180200
1767,217000
1768,143250
1769,148500
1770,143250
1771,171000
1772,105000
1773,171000
1774,125000
1775,171000
1776,113000
1777,107000
1778,143250
1779,149000
1780,155250
1781,171000
1782,113000
1783,117000
1784,238000
1785,87000
1786,117000
1787,230000
1788,238000
1789,87000
1790,134800
1791,274300
1792,157900
1793,143250
1794,143250
1795,97000
1796,149000
1797,87000
1798,171000
1799,109000
1800,110000
1801,135000
1802,140000
1803,191000
1804,135000
1805,171000
1806,135000
1807,129500
1808,143000
1809,52000
1810,130000
1811,194201
1812,93000
1813,130000
1814,108480
1815,55000
1816,238000
1817,93000
1818,177000
1819,114504
1820,67000
1821,142500
1822,128000
1823,67000
1824,135000
1825,135000
1826,159950
1827,113000
1828,113000
1829,113000
1830,128000
1831,135000
1832,143900
1833,177500
1834,125500
1835,113000
1836,137500
1837,81000
1838,105000
1839,88000
1840,118500
1841,125000
1842,81000
1843,171000
1844,135000
1845,108000
1846,152000
1847,137500
1848,67000
1849,140000
1850,171000
1851,177500
1852,113000
1853,136500
1854,179540
1855,133000
1856,213000
1857,228000
1858,142953
1859,142953
1860,155000
1861,142953
1862,179000
1863,189000
1864,189000
1865,392500
1866,385000
1867,191000
1868,392500
1869,193879
1870,224000
1871,238000
1872,174000
1873,261500
1874,113000
1875,179000
1876,171000
1877,262500
1878,214000
1879,149000
1880,149000
1881,270000
1882,228500
1883,230000
1884,230000
1885,220000
1886,392500
1887,214000
1888,270000
1889,174000
1890,113000
1891,140000
1892,97000
1893,145000
1894,137500
1895,169500
1896,132000
1897,113000
1898,78000
1899,174000
1900,78000
1901,117000
1902,145000
1903,129500
1904,171000
1905,177333
1906,259500
1907,320000
1908,118000
1909,113000
1910,113000
1911,179000
1912,271900
1913,175000
1914,68500
1915,392500
1916,52000
1917,198500
1918,113000
1919,210000
1920,145000
1921,354000
1922,385000
1923,179000
1924,175000
1925,195000
1926,372402
1927,149000
1928,172000
1929,115000
1930,113000
1931,145500
1932,175000
1933,228000
1934,177333
1935,179000
1936,179000
1937,179000
1938,142500
1939,328900
1940,197000
1941,188750
1942,179000
1943,202665
1944,238000
1945,315500
1946,148500
1947,319900
1948,148500
1949,223000
1950,214000
1951,244000
1952,223000
1953,198900
1954,191000
1955,145000
1956,229000
1957,167975
1958,290000
1959,142953
1960,110000
1961,87000
1962,115000
1963,115000
1964,169500
